dataset,subset,assay,model_size,precision,backend,metric_name,metric_value,pytorch_metric,delta_from_pytorch,threshold,passed,variants,cache_dir,error
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,pytorch,pytorch,spearman,-0.6352008491064517,-0.6352008491064517,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,pytorch,pytorch,pearson,-0.6279587324448758,-0.6279587324448758,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,pytorch,pytorch,kendall_tau_b,-0.46954401355780634,-0.46954401355780634,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,pytorch,pytorch,top10_overlap,0.08,0.08,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,pytorch,pytorch,bottom10_overlap,0.0,0.0,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,f16,cpu,spearman,-0.6353917553917554,-0.6352008491064517,-0.00019090628530371578,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,f16,cpu,pearson,-0.6283067934089591,-0.6279587324448758,-0.0003480609640833521,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,f16,cpu,kendall_tau_b,-0.46956556556556556,-0.46954401355780634,-2.155200775921795e-05,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,f16,cpu,top10_overlap,0.08,0.08,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,f16,cpu,bottom10_overlap,0.0,0.0,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q8_0,cpu,spearman,-0.6345706324743444,-0.6352008491064517,0.0006302166321072722,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q8_0,cpu,pearson,-0.6269167343461136,-0.6279587324448758,0.0010419980987621535,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q8_0,cpu,kendall_tau_b,-0.4693478171652173,-0.46954401355780634,0.0001961963925890542,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q8_0,cpu,top10_overlap,0.08,0.08,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q8_0,cpu,bottom10_overlap,0.0,0.0,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_m,cpu,spearman,-0.6359384977541286,-0.6352008491064517,-0.0007376486476768918,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_m,cpu,pearson,-0.6302992082760642,-0.6279587324448758,-0.00234047583118846,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_m,cpu,kendall_tau_b,-0.47013507534643834,-0.46954401355780634,-0.0005910617886319969,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_m,cpu,top10_overlap,0.08,0.08,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_m,cpu,bottom10_overlap,0.0,0.0,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,spearman,-0.6400492720492721,-0.6352008491064517,-0.004848422942820396,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,pearson,-0.631680617232991,-0.6279587324448758,-0.003721884788115193,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,kendall_tau_b,-0.4733853853853854,-0.46954401355780634,-0.003841371827579043,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,top10_overlap,0.08,0.08,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,bottom10_overlap,0.0,0.0,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
