model_size,precision,implementation,backend,sequence_name,sequence_bucket,sequence_length,token_count,model_path,model_file_size_bytes,peak_rss_bytes,peak_rss_mib,machine_budget_bytes,budget_pass,success,returncode,elapsed_s,notes,error
300m,f32,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2481979392,2367.0,17179869184,True,True,0,2.0672595409560017,single mean-pooled embed,
300m,f32,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,3876225024,3696.65625,17179869184,True,True,0,1.8222665829816833,single mean-pooled embed,
300m,f32,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,4183179264,3989.390625,17179869184,True,True,0,6.439386582991574,single mean-pooled embed,
300m,f16,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,1590591488,1516.90625,17179869184,True,True,0,0.7215434579993598,single mean-pooled embed,
300m,f16,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,2625175552,2503.5625,17179869184,True,True,0,1.1543537919642404,single mean-pooled embed,
300m,f16,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,7786446848,7425.734375,17179869184,True,True,0,3.172914082999341,single mean-pooled embed,
300m,q8_0,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,968310784,923.453125,17179869184,True,True,0,0.6477282909909263,single mean-pooled embed,
300m,q8_0,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,2001895424,1909.15625,17179869184,True,True,0,1.1455117919831537,single mean-pooled embed,
300m,q8_0,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,7162396672,6830.59375,17179869184,True,True,0,3.638161791022867,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,759775232,724.578125,17179869184,True,True,0,0.6222313750186004,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,1793474560,1710.390625,17179869184,True,True,0,1.6217072079889476,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,6954041344,6631.890625,17179869184,True,True,0,5.1306354579865,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,740196352,705.90625,17179869184,True,True,0,0.6268032920197584,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,1773715456,1691.546875,17179869184,True,True,0,1.636468791984953,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,6934429696,6613.1875,17179869184,True,True,0,5.673124624998309,single mean-pooled embed,
300m,f32,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2711863296,2586.234375,17179869184,True,True,0,0.8703934579971246,single mean-pooled embed,
300m,f32,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2713862144,2588.140625,17179869184,True,True,0,0.74281616701046,single mean-pooled embed,
300m,f32,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2694512640,2569.6875,17179869184,True,True,0,2.7615389580023475,single mean-pooled embed,
300m,f16,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,1384693760,1320.546875,17179869184,True,True,0,0.7477496250066906,single mean-pooled embed,
300m,f16,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,1386364928,1322.140625,17179869184,True,True,0,0.6449702499667183,single mean-pooled embed,
300m,f16,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,1387446272,1323.171875,17179869184,True,True,0,1.1988490410149097,single mean-pooled embed,
300m,q8_0,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,762740736,727.40625,17179869184,True,True,0,0.637339000008069,single mean-pooled embed,
300m,q8_0,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,764854272,729.421875,17179869184,True,True,0,0.6200910829938948,single mean-pooled embed,
300m,q8_0,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,772063232,736.296875,17179869184,True,True,0,1.1241476249997504,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,554008576,528.34375,17179869184,True,True,0,0.6229492910206318,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,555925504,530.171875,17179869184,True,True,0,0.604599500016775,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,557039616,531.234375,17179869184,True,True,0,1.1423489999724552,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,534462464,509.703125,17179869184,True,True,0,0.6539989999728277,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,536297472,511.453125,17179869184,True,True,0,0.6122030410333537,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,544145408,518.9375,17179869184,True,True,0,1.119540500047151,single mean-pooled embed,
300m,f32,pytorch,pytorch_cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,1547223040,1475.546875,17179869184,True,True,0,3.351075915968977,single PyTorch forward,
300m,f32,pytorch,pytorch_cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,1578057728,1504.953125,17179869184,True,True,0,1.114909541036468,single PyTorch forward,
300m,f32,pytorch,pytorch_cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,1664745472,1587.625,17179869184,True,True,0,1.5599130000337027,single PyTorch forward,
