model_size,precision,implementation,backend,sequence_name,sequence_bucket,sequence_length,token_count,model_path,model_file_size_bytes,peak_rss_bytes,peak_rss_mib,machine_budget_bytes,budget_pass,success,returncode,elapsed_s,notes,error
300m,f32,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2702508032,2577.3125,38654705664,True,True,0,12.383535458007827,single mean-pooled embed,
300m,f32,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2711470080,2585.859375,38654705664,True,True,0,19.335926625004504,single mean-pooled embed,
300m,f32,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2735931392,2609.1875,38654705664,True,True,0,23.362777000002097,single mean-pooled embed,
300m,f16,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,1375371264,1311.65625,38654705664,True,True,0,9.742909624997992,single mean-pooled embed,
300m,f16,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,1384218624,1320.09375,38654705664,True,True,0,15.732001374999527,single mean-pooled embed,
300m,f16,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f16.gguf,664280928,1411399680,1346.015625,38654705664,True,True,0,19.738778957980685,single mean-pooled embed,
300m,q8_0,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,753401856,718.5,38654705664,True,True,0,13.726483250036836,single mean-pooled embed,
300m,q8_0,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,761790464,726.5,38654705664,True,True,0,13.665152458997909,single mean-pooled embed,
300m,q8_0,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,787202048,750.734375,38654705664,True,True,0,15.195178084017243,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,545030144,519.78125,38654705664,True,True,0,8.165548416960519,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,553500672,527.859375,38654705664,True,True,0,19.717908416001592,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,578977792,552.15625,38654705664,True,True,0,23.243214624992106,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,525123584,500.796875,38654705664,True,True,0,11.689184457994998,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,533168128,508.46875,38654705664,True,True,0,15.689468250027858,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,559333376,533.421875,38654705664,True,True,0,20.21527533297194,single mean-pooled embed,
300m,f32,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2707898368,2582.453125,38654705664,True,True,0,0.6968815419822931,single mean-pooled embed,
300m,f32,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-f32.gguf,1327959648,2709356544,2583.84375,38654705664,True,True,0,0.7127472500433214,single mean-pooled embed,
