model_size,precision,implementation,backend,sequence_name,sequence_bucket,sequence_length,token_count,warmup,iterations,median_latency_ms,p95_latency_ms,seq_per_s,residues_per_s,tokens_per_s,total_time_s,error
300m,f16,esmc.cpp,cpu,short_50,short,45,47,10,1000,176.0424375,184.539667,5.827647680431122,262.2441456194005,273.89944098026274,171.595823021,
300m,f16,esmc.cpp,cpu,medium_250,medium,233,235,10,1000,590.4158540000001,614.258417,1.6804590981746723,391.5469698746987,394.90788807104803,595.075477342,
300m,f16,esmc.cpp,cpu,long_1024_seed,long,848,850,10,1000,2937.7231665,3931.876166,0.32857473637938933,278.63137644972215,279.2885259224809,3043.447621747,
300m,q8_0,esmc.cpp,cpu,short_50,short,45,47,10,1000,152.59697899999998,159.071209,6.553122407557192,294.8905083400736,307.996753155188,152.59901125099998,
300m,q8_0,esmc.cpp,cpu,medium_250,medium,233,235,10,1000,652.2182295,675.922125,1.5294958968136063,356.37254395757026,359.4315357511975,653.810188104,
300m,q8_0,esmc.cpp,cpu,long_1024_seed,long,848,850,10,1000,3292.1346245,4281.985833,0.2929011280476867,248.3801565844383,248.96595884053366,3414.1213680719998,
300m,q4_k_m,esmc.cpp,cpu,short_50,short,45,47,10,1000,257.27575,281.357458,3.8475920267746795,173.14164120486058,180.83682525840993,259.90281533,
300m,q4_k_m,esmc.cpp,cpu,medium_250,medium,233,235,10,1000,1181.1921665,1429.241334,0.8383872395592469,195.3442268173045,197.021001296423,1192.766245495,
300m,q4_k_m,esmc.cpp,cpu,long_1024_seed,long,848,850,10,1000,5271.684563,6334.796791,0.183330782345877,155.46450342930368,155.83116499399543,5454.621352749,
300m,q4_k_s,esmc.cpp,cpu,short_50,short,45,47,10,1000,242.869708,251.625208,4.103131579010334,184.64092105546504,192.84718421348572,243.716288582,
300m,q4_k_s,esmc.cpp,cpu,medium_250,medium,233,235,10,1000,1163.322042,1181.713625,0.8645228703116576,201.43382878261625,203.16287452323957,1156.707398197,
300m,q4_k_s,esmc.cpp,cpu,long_1024_seed,long,848,850,10,1000,5197.6392080000005,6210.333625,0.18558528668908106,157.37632311234074,157.74749368571892,5388.358192831,
300m,f16,esmc.cpp,metal,short_50,short,45,47,10,1000,117.0218755,125.084542,8.611140218539902,387.50130983429557,404.7235902713754,116.128639718,
300m,f16,esmc.cpp,metal,medium_250,medium,233,235,10,1000,207.781208,221.578209,4.798441052935358,1118.0367653339385,1127.6336474398092,208.401017949,
300m,f16,esmc.cpp,metal,long_1024_seed,long,848,850,10,1000,766.8111875,985.088042,1.2919302665037304,1095.5568659951634,1098.140726528171,774.0355853,
300m,q8_0,esmc.cpp,metal,short_50,short,45,47,10,1000,79.449479,87.375292,12.52507993103769,563.628596896696,588.6787567587714,79.83980984600001,
300m,q8_0,esmc.cpp,metal,medium_250,medium,233,235,10,1000,182.05345849999998,189.575625,5.5019051739169385,1281.9439055226467,1292.9477158704806,181.75522267099998,
300m,q8_0,esmc.cpp,metal,long_1024_seed,long,848,850,10,1000,754.798125,804.640792,1.3273942198396125,1125.6302984239912,1128.2850868636706,753.3556987469999,
300m,q4_k_m,esmc.cpp,metal,short_50,short,45,47,10,1000,69.9802085,72.442666,14.339502356190202,645.277606028559,673.9566107409395,69.73742708500001,
300m,q4_k_m,esmc.cpp,metal,medium_250,medium,233,235,10,1000,177.48427099999998,185.241084,5.615833591207587,1308.4892267513678,1319.720893933783,178.067954429,
300m,q4_k_m,esmc.cpp,metal,long_1024_seed,long,848,850,10,1000,756.147271,799.23575,1.3269806547187208,1125.2795952014753,1127.9335565109127,753.5904886359999,
300m,q4_k_s,esmc.cpp,metal,short_50,short,45,47,10,1000,69.026479,71.257875,14.544891392858823,654.520112678647,683.6098954643646,68.752661879,
300m,q4_k_s,esmc.cpp,metal,medium_250,medium,233,235,10,1000,179.7770625,186.509291,5.560084050956585,1295.4995838728844,1306.6197519747975,179.85339625,
300m,q4_k_s,esmc.cpp,metal,long_1024_seed,long,848,850,10,1000,755.671458,798.343708,1.326411143681565,1124.796649841967,1127.4494721293304,753.9140520369999,
300m,f32,pytorch,pytorch_cpu,short_50,short,45,47,10,1000,96.470895485254,102.42245899280533,10.313845178388288,464.12303302747296,484.75072338424957,96.9570497427485,
300m,f32,pytorch,pytorch_cpu,medium_250,medium,233,235,10,1000,219.7028750088066,228.8457090035081,4.562205770162385,1062.9939444478357,1072.1183559881606,219.19221761985682,
300m,f32,pytorch,pytorch_cpu,long_1024_seed,long,848,850,10,1000,573.0047290271614,595.9804579615593,1.743450514913047,1478.446036646264,1481.93293767609,573.5752127440646,
300m,f32,pytorch,pytorch_mps,short_50,short,45,47,10,1000,33.74727052869275,36.06441698502749,29.29409414497498,1318.2342365238742,1376.8224248138242,34.136573571828194,
300m,f32,pytorch,pytorch_mps,medium_250,medium,233,235,10,1000,98.10187551192939,102.11937502026558,10.107398426333186,2355.0238333356324,2375.238630188299,98.9374275970622,
300m,f32,pytorch,pytorch_mps,long_1024_seed,long,848,850,10,1000,350.7479369873181,362.5200410024263,2.8282055473098016,2398.3183041187117,2403.9747152133314,353.58108994277427,
