model_size,precision,implementation,backend,sequence_name,sequence_bucket,sequence_length,token_count,warmup,iterations,median_latency_ms,p95_latency_ms,seq_per_s,residues_per_s,tokens_per_s,total_time_s,error
300m,f16,esmc.cpp,cpu,short_50,short,45,47,3,5,82.028667,300.848292,8.029886157059876,361.3448770676944,377.4046493818142,0.6226738340000001,
300m,f16,esmc.cpp,cpu,medium_250,medium,233,235,3,5,458.052125,592.834333,2.065439136311212,481.24731876051237,485.3781970331348,2.420792708,
300m,f16,esmc.cpp,cpu,long_1024_seed,long,848,850,3,5,1800.651,1906.475584,0.5567362745471841,472.1123608160121,473.2258333651065,8.980912918,
300m,q8_0,esmc.cpp,cpu,short_50,short,45,47,3,5,65.555208,80.766084,14.828011745268105,667.2605285370647,696.9165520276009,0.33719962499999995,
300m,q8_0,esmc.cpp,cpu,medium_250,medium,233,235,3,5,423.970417,472.109708,2.365185835924546,551.0882997704192,555.8186714422683,2.113998792,
300m,q8_0,esmc.cpp,cpu,long_1024_seed,long,848,850,3,5,1864.665875,1973.607792,0.5345687454246068,453.3142961200665,454.3834336109157,9.353333959,
300m,q4_k_m,esmc.cpp,cpu,short_50,short,45,47,3,5,246.494875,380.073458,3.88813548962723,174.96609703322534,182.7423680124798,1.2859634169999998,
300m,q4_k_m,esmc.cpp,cpu,medium_250,medium,233,235,3,5,901.933208,967.131042,1.088990122015626,253.73469842964084,255.9126786736721,4.591409875,
300m,q4_k_m,esmc.cpp,cpu,long_1024_seed,long,848,850,3,5,3316.848333,3529.126875,0.3071525139516386,260.4653318309895,261.0796368588928,16.278557957,
300m,q4_k_s,esmc.cpp,cpu,short_50,short,45,47,3,5,206.485,214.399875,4.948859921687519,222.69869647593833,232.59641631931336,1.010333709,
300m,q4_k_s,esmc.cpp,cpu,medium_250,medium,233,235,3,5,1170.534083,1856.489834,0.7277530310413413,169.5664562326325,171.0219622947152,6.870462625,
300m,q4_k_s,esmc.cpp,cpu,long_1024_seed,long,848,850,3,5,3242.323875,3929.967792,0.3061040710284112,259.5762522320927,260.1884603741495,16.334313958,
300m,f16,esmc.cpp,metal,short_50,short,45,47,3,5,10.907167,11.205708,90.97187473493071,4093.734363071882,4275.678112541743,0.054962041999999996,
300m,f16,esmc.cpp,metal,medium_250,medium,233,235,3,5,27.13475,27.908416,36.54951844255075,8516.037797114326,8589.136833999426,0.136800708,
300m,f16,esmc.cpp,metal,long_1024_seed,long,848,850,3,5,171.926333,252.403083,5.137598375838284,4356.683422710865,4366.958619462541,0.9732173740000001,
300m,q8_0,esmc.cpp,metal,short_50,short,45,47,3,5,12.106459,12.480625,82.81630561628383,3726.7337527327722,3892.36636396534,0.060374584,
300m,q8_0,esmc.cpp,metal,medium_250,medium,233,235,3,5,30.475625,33.177666,32.3514579572746,7537.889704044981,7602.592619959531,0.15455254,
300m,q8_0,esmc.cpp,metal,long_1024_seed,long,848,850,3,5,185.288833,307.003167,4.5564038946773575,3863.830502686399,3872.9433104757536,1.097356625,
300m,q4_k_m,esmc.cpp,metal,short_50,short,45,47,3,5,11.936917,12.95025,82.2985985404574,3703.436934320583,3868.0341314014977,0.060754376,
300m,q4_k_m,esmc.cpp,metal,medium_250,medium,233,235,3,5,28.070417,28.695208,35.53238326183697,8279.045300008014,8350.110066531688,0.140716708,
300m,q4_k_m,esmc.cpp,metal,long_1024_seed,long,848,850,3,5,187.804208,293.046209,5.123493049020512,4344.722105569394,4354.969091667435,0.975896708,
300m,q4_k_s,esmc.cpp,metal,short_50,short,45,47,3,5,11.571084,11.688708,86.55398549511,3894.92934727995,4068.03731827017,0.057767415,
300m,q4_k_s,esmc.cpp,metal,medium_250,medium,233,235,3,5,31.917458,33.554708,31.630171732348323,7369.83001363716,7433.090357101856,0.15807691599999998,
300m,q4_k_s,esmc.cpp,metal,long_1024_seed,long,848,850,3,5,212.483417,395.3565,4.301097464330055,3647.3306497518865,3655.9328446805466,1.162494001,
