model_size,precision,backend,sequence_name,sequence_length,reference_shape,output_shape,mean_cosine,min_cosine,mean_pool_l2,mean_cosine_threshold,min_cosine_threshold,mean_pool_l2_threshold,passed,error
300m,f16,metal,small_A0A075B6S0,16,"[16, 960]","[16, 960]",0.9999995231628418,0.9999984502792358,0.00046179958735592663,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A075B6Y3,20,"[20, 960]","[20, 960]",0.9999994039535522,0.9999972581863403,0.0004925639950670302,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A075B6Y9,20,"[20, 960]","[20, 960]",0.9999996423721313,0.9999980926513672,0.0004335956764407456,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A075B700,18,"[18, 960]","[18, 960]",0.9999997019767761,0.9999988675117493,0.000404047459596768,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A075B706,16,"[16, 960]","[16, 960]",0.9999997615814209,0.9999988675117493,0.0003005092730745673,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MT70,17,"[17, 960]","[17, 960]",0.9999995231628418,0.9999979138374329,0.00045096894609741867,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MT76,42,"[42, 960]","[42, 960]",0.9999996423721313,0.9999992847442627,0.0004077850317116827,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MT78,15,"[15, 960]","[15, 960]",0.9999991655349731,0.9999979734420776,0.0004920429200865328,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MT87,16,"[16, 960]","[16, 960]",0.9999994039535522,0.9999978542327881,0.000499747518915683,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MT89,12,"[12, 960]","[12, 960]",0.9999995231628418,0.9999979734420776,0.0005192080861888826,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MT94,16,"[16, 960]","[16, 960]",0.9999995231628418,0.9999982714653015,0.00046652278979308903,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MTA4,15,"[15, 960]","[15, 960]",0.9999992847442627,0.9999985694885254,0.0005242312327027321,0.999,0.99,0.05,True,
300m,f16,metal,small_A0A0A0MTA7,16,"[16, 960]","[16, 960]",0.9999996423721313,0.9999992251396179,0.00045288586989045143,0.999,0.99,0.05,True,
