model_size,precision,backend,sequence_name,sequence_length,reference_shape,output_shape,mean_cosine,min_cosine,mean_pool_l2,mean_cosine_threshold,min_cosine_threshold,mean_pool_l2_threshold,passed,error
300m,f16,cpu,small_A0A075B6S0,16,"[16, 960]","[16, 960]",0.9999732375144958,0.9998196959495544,0.0026127733290195465,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A075B6Y3,20,"[20, 960]","[20, 960]",0.999977707862854,0.9999191761016846,0.0025237593799829483,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A075B6Y9,20,"[20, 960]","[20, 960]",0.9999828338623047,0.9999504685401917,0.0021209954284131527,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A075B700,18,"[18, 960]","[18, 960]",0.9999908804893494,0.9999668598175049,0.0014524555299431086,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A075B706,16,"[16, 960]","[16, 960]",0.9999770522117615,0.9998382925987244,0.0027531241066753864,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MT70,17,"[17, 960]","[17, 960]",0.9999871850013733,0.9999760985374451,0.002009899355471134,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MT76,42,"[42, 960]","[42, 960]",0.9999828338623047,0.9999368786811829,0.0017879970837384462,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MT78,15,"[15, 960]","[15, 960]",0.9999681711196899,0.9998963475227356,0.00291865854524076,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MT87,16,"[16, 960]","[16, 960]",0.9999783039093018,0.9998984336853027,0.0025963331572711468,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MT89,12,"[12, 960]","[12, 960]",0.9999833703041077,0.9999518990516663,0.002645528642460704,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MT94,16,"[16, 960]","[16, 960]",0.9999868273735046,0.9999738335609436,0.002163939643651247,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MTA4,15,"[15, 960]","[15, 960]",0.999985933303833,0.9999672174453735,0.0022256504744291306,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0A0MTA7,16,"[16, 960]","[16, 960]",0.999985933303833,0.9999709129333496,0.002265834016725421,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0B4J200,16,"[16, 960]","[16, 960]",0.9999915957450867,0.9999704957008362,0.0013867856469005346,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0C4DH62,17,"[17, 960]","[17, 960]",0.9999710321426392,0.9998906850814819,0.003003625897690654,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0C5B5G6,16,"[16, 960]","[16, 960]",0.999983549118042,0.9999668598175049,0.002259409986436367,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0J9YWP8,16,"[16, 960]","[16, 960]",0.999984860420227,0.9999567866325378,0.0023394678719341755,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0J9YWX3,17,"[17, 960]","[17, 960]",0.9999812841415405,0.9999316334724426,0.001976064406335354,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0J9YX06,15,"[15, 960]","[15, 960]",0.9999862909317017,0.999965488910675,0.0018968264339491725,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0J9YXA8,15,"[15, 960]","[15, 960]",0.9999861121177673,0.9999629855155945,0.0023766793310642242,0.999,0.99,0.05,True,
300m,f16,cpu,small_A0A0J9YXG5,16,"[16, 960]","[16, 960]",0.9999836683273315,0.9999551177024841,0.0021312495227903128,0.999,0.99,0.05,True,
